this_week,name,country,average_points,total_points,events_played,points_lost_this_year,points_gained_this_year,events_played
1,Dustin Johnson,United States,10.409,468.405,45,-429.77,450.123,45
2,Jordan Spieth,United States,9.2079,441.98,48,-418.672,450.429,48
3,Justin Thomas,United States,8.3606,434.752,52,-219.055,446.428,52
4,Jon Rahm,Spain,8.0543,322.17,40,-103.784,378.511,37
5,Hideki Matsuyama,Japan,7.9197,388.064,49,-315.862,314.533,49
6,Justin Rose,England,7.8379,352.705,45,-227.525,367.125,45
7,Rickie Fowler,United States,6.7951,326.163,48,-273.284,346.097,48
8,Brooks Koepka,United States,6.3286,297.443,47,-195.49,276.316,47
9,Henrik Stenson,Sweden,5.9013,259.657,44,-327.557,178.597,44
10,Sergio Garcia,Spain,5.6648,249.25,44,-216.335,261.999,44
11,Rory McIlroy,N Ireland,5.6385,225.542,40,-332.917,145.448,40
12,Marc Leishman,Australia,5.1163,266.046,52,-136.381,284.736,52
13,Jason Day,Australia,5.0432,211.814,42,-374.115,149.348,42
14,Paul Casey,England,4.8891,229.787,47,-193.987,188.778,47
15,Matt Kuchar,United States,4.7382,246.387,52,-194.22,227.659,57
16,Tyrrell Hatton,England,4.6308,231.542,50,-147.195,187.894,50
17,Tommy Fleetwood,England,4.5526,236.734,52,-111.509,272.871,55
18,Alex Noren,Sweden,4.5011,207.053,46,-159.392,152.346,46
19,Pat Perez,United States,4.2706,170.823,40,-61.97,180.886,38
20,Rafael Cabrera Bello,Spain,3.9638,206.12,52,-162.17,194.49,58
21,Francesco Molinari,Italy,3.8448,192.24,50,-134.322,171.973,50
22,Charley Hoffman,United States,3.7843,196.785,52,-119.491,213.288,57
23,Louis Oosthuizen,South Africa,3.7476,164.896,44,-172.052,160.85,44
24,Patrick Reed,United States,3.6943,192.105,52,-239.713,152.511,65
25,Xander Schauffele,United States,3.4517,179.491,52,-28.564,183.449,56
26,Kevin Kisner,United States,3.3464,174.015,52,-154.597,199.193,52
27,Brian Harman,United States,3.3256,172.933,52,-87.12,199.513,58
28,Daniel Berger,United States,3.1935,162.87,51,-147.527,146.61,51
29,Matthew Fitzpatrick,England,3.163,164.476,52,-145.534,134.174,58
30,Branden Grace,South Africa,3.097,161.043,52,-196.914,133.585,53
31,Adam Scott,Australia,2.969,124.698,42,-232.589,75.742,42
32,Ross Fisher,England,2.9522,141.705,48,-92.581,135.52,48
33,Charl Schwartzel,South Africa,2.9055,136.56,47,-167.247,112.34,47
34,Kevin Chappell,United States,2.8917,150.367,52,-144.514,129.516,52
35,Yuta Ikeda,Japan,2.7096,140.899,52,-109.827,90.944,59
36,Thomas Pieters,Belgium,2.6939,126.613,47,-128.484,126.12,47
37,Phil Mickelson,United States,2.6644,125.226,47,-156.629,101.5,47
38,Patrick Cantlay,United States,2.6131,104.522,40,-17.569,122.091,14
39,Bernd Wiesberger,Austria,2.5938,134.879,52,-132.946,122.803,56
40,Tony Finau,United States,2.5821,134.267,52,-90.376,140.728,57
41,Jason Dufner,United States,2.5693,125.897,49,-106.362,132.44,49
42,Siwoo Kim,Korea,2.5602,133.128,52,-109.486,120.608,64
43,Webb Simpson,United States,2.518,123.381,49,-84.743,132.65,49
44,Jhonattan Vegas,Venezuela,2.5002,130.013,52,-86.834,115.904,56
45,Brendan Steele,United States,2.4871,116.896,47,-99.33,107.629,47
46,Russell Henley,United States,2.4255,121.277,50,-78.13,137.393,50
47,Zach Johnson,United States,2.3883,119.417,50,-141.547,116.478,50
48,Kyle Stanley,United States,2.3582,122.629,52,-49.482,137.114,55
49,Kiradech Aphibarnrat,Thailand,2.3457,121.979,52,-90.697,117.632,59
50,Yusaku Miyazato,Japan,2.345,121.939,52,-58.446,121.234,62
51,Satoshi Kodaira,Japan,2.3419,121.777,52,-57.18,105.349,54
52,Peter Uihlein,United States,2.3333,102.667,44,-43.918,117.67,44
53,Dylan Frittelli,South Africa,2.2987,119.532,52,-55.748,119.776,67
54,Ian Poulter,England,2.2852,107.405,47,-58.653,121.888,47
55,Gary Woodland,United States,2.2359,116.265,52,-113.749,99.84,53
